"nom","taille","age","points","reb","pd","d","v_d","min","2p_av","3p_av","fg_av","ft_av","ro","rebb","pdd","inn","bp","ct","fa","ptss","eva","ptsss","rebbb","ast","stl","blk","equipe"
Matthias Flosse,"2m10",25,13.7,8.7,1.0,3,"2-1",23.7,"63.2%","60%","62.5%","66.7%",3.7,8.7,1.0,0.3,1.7,1.0,3.0,13.7,18.7,20.0,10.0,1.0,1.0,2.0,andrezieux-boutheon
Pape Diop,"2m04",27,13.5,6.4,1.5,15,"10-5",26.9,"58.1%","18.5%","51%","71.7%",1.8,6.4,1.5,1.5,2.1,0.9,2.5,13.5,15.6,25.0,10.0,3.0,5.0,2.0,andrezieux-boutheon
Jaraun Burrows,"2m03",38,11.8,3.8,1.8,9,"4-5",24.4,"59.3%","75%","60.3%","67.5%",1.3,3.8,1.8,0.3,1.8,0.3,1.8,11.8,12.0,22.0,5.0,3.0,1.0,1.0,andrezieux-boutheon
Moustapha Diarra,"2m05",36,11.0,4.7,0.7,21,"14-7",23.7,"55%","66.7%","55.2%","66.7%",1.9,4.7,0.7,0.6,2.5,0.7,2.3,11.0,10.6,23.0,8.0,2.0,3.0,3.0,andrezieux-boutheon
Rosaire Malonga,"1m88",28,10.8,2.6,5.1,22,"14-8",28.1,"49.3%","34.5%","39.8%","70.6%",0.2,2.6,5.1,1.3,2.8,0.1,2.0,10.8,11.1,25.0,5.0,8.0,3.0,1.0,andrezieux-boutheon
Louis Weber,"1m86",25,10.1,2.8,4.6,22,"14-8",25.5,"35.5%","31.6%","33.9%","75.5%",0.3,2.8,4.6,1.0,2.3,0.0,2.4,10.1,9.5,18.0,7.0,8.0,3.0,1.0,andrezieux-boutheon
Mohamed Sidibe,"2m05",21,9.9,6.8,1.4,22,"14-8",22.5,"50.8%","0%","49.2%","67.4%",2.4,6.8,1.4,1.0,1.5,0.7,3.1,9.9,13.1,18.0,13.0,3.0,3.0,3.0,andrezieux-boutheon
Adrien Thimon,"1m99",29,8.8,2.6,1.8,15,"9-6",21.3,"46.9%","39.3%","42.7%","63.6%",1.0,2.6,1.8,0.9,1.7,0.3,1.5,8.8,8.0,30.0,5.0,5.0,3.0,2.0,andrezieux-boutheon
Hugo Cucherat,"1m93",21,8.4,1.5,1.0,15,"9-6",23.9,"36.8%","47.3%","45.2%","70%",0.3,1.5,1.0,0.7,0.5,0.0,1.5,8.4,7.6,18.0,5.0,3.0,3.0,0.0,andrezieux-boutheon
Theo Bouteille,"1m92",26,7.3,3.0,2.3,4,"3-1",20.8,"37.5%","55.6%","44%","50%",0.8,3.0,2.3,0.5,0.5,0.3,1.3,7.3,8.8,12.0,4.0,4.0,1.0,1.0,andrezieux-boutheon
Tom Hyenne,"1m94",23,5.0,2.7,0.9,20,"12-8",16.1,"37.1%","31.8%","35.9%","56.3%",0.7,2.7,0.9,0.5,1.0,0.1,1.8,5.0,4.2,12.0,7.0,4.0,2.0,1.0,andrezieux-boutheon
Ludovic Dufeal,"2m02",24,4.3,3.7,0.6,21,"14-7",17.1,"58.7%","31.8%","50%","78.9%",1.5,3.7,0.6,1.0,0.6,0.7,1.8,4.3,7.9,12.0,10.0,4.0,4.0,2.0,andrezieux-boutheon
Alexis Ville,-,,2.2,2.7,0.8,10,"7-3",14.9,"42.9%","8.3%","26.9%","63.6%",0.7,2.7,0.8,0.8,0.9,0.0,1.0,2.2,3.3,6.0,5.0,3.0,2.0,0.0,andrezieux-boutheon
Kevin Lavieille,"1m98",27,2.0,2.0,1.5,2,"2-0",17.5,"20%","0%","16.7%","50%",0.5,2.0,1.5,1.5,0.5,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,andrezieux-boutheon
Luca Sanchez,"1m80",17,0.4,0.0,0.0,5,"5-0",1.4,"100%","0%","33.3%",-,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.4,2.0,0.0,0.0,2.0,0.0,andrezieux-boutheon
Valentin Troadec,-,,0.0,0.0,0.0,1,"1-0",1.0,-,"0%","0%",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,andrezieux-boutheon
Dominick Bridgewater,"1m78",23,14.2,1.9,4.8,22,"12-10",25.0,"56.2%","37.8%","48.2%","74.3%",0.5,1.9,4.8,1.9,3.0,0.1,2.5,14.2,13.7,25.0,5.0,10.0,6.0,1.0,avignon-le-pontet
Nemanja Kovanusic,"2m05",30,14.1,8.0,1.5,22,"12-10",26.1,"65.6%","37.9%","57.5%","55.3%",2.6,8.0,1.5,0.5,1.7,0.3,2.4,14.1,17.3,37.0,14.0,6.0,2.0,2.0,avignon-le-pontet
Tyson Jolly,"1m92",26,12.6,2.8,1.4,13,"8-5",23.0,"54%","39.4%","46.5%","56.3%",0.5,2.8,1.4,1.2,1.7,0.5,2.5,12.6,10.4,23.0,9.0,4.0,3.0,2.0,avignon-le-pontet
Nico Clareth,"1m96",26,10.7,3.4,2.3,7,"3-4",21.7,"43.8%","29.3%","35.6%","73.3%",0.1,3.4,2.3,1.1,1.6,0.4,2.9,10.7,9.1,16.0,8.0,5.0,3.0,1.0,avignon-le-pontet
Geoffrey Bourcier,"1m83",35,10.5,2.7,3.0,22,"12-10",23.2,"42.7%","39.6%","41.2%","82.4%",0.4,2.7,3.0,1.7,1.5,0.0,2.2,10.5,11.1,27.0,4.0,8.0,5.0,1.0,avignon-le-pontet
Steven Cayol,"1m80",25,10.1,5.3,2.4,22,"12-10",26.5,"64.1%","33.3%","61.4%","70.1%",2.2,5.3,2.4,1.6,1.9,0.6,2.8,10.1,14.8,22.0,11.0,8.0,3.0,3.0,avignon-le-pontet
Sullivan Hernandez,"2m04",28,7.7,3.6,2.2,21,"11-10",23.1,"57.7%","26.7%","50.4%","64.1%",1.1,3.6,2.2,1.6,2.1,0.7,2.6,7.7,10.0,20.0,8.0,5.0,5.0,3.0,avignon-le-pontet
Tristan Pothion,"2m00",31,6.3,3.0,1.0,20,"11-9",23.8,"61.8%","34.4%","44.2%","67.7%",0.4,3.0,1.0,0.5,1.6,0.2,1.7,6.3,6.2,14.0,8.0,3.0,2.0,2.0,avignon-le-pontet
Austin Rasolonjatovo,"1m86",22,6.2,2.2,3.1,22,"12-10",19.0,"49.1%","31.3%","40.8%","84.4%",0.4,2.2,3.1,1.0,1.7,0.0,1.3,6.2,7.9,15.0,6.0,9.0,4.0,1.0,avignon-le-pontet
Matthieu Vigneron,"2m01",21,4.3,2.4,0.3,10,"6-4",14.6,"48.4%","25%","43.6%","70%",1.0,2.4,0.3,0.4,1.5,0.0,1.8,4.3,3.4,10.0,7.0,2.0,1.0,0.0,avignon-le-pontet
Guy-Marc Michel,"2m10",35,2.1,2.7,0.5,19,"11-8",11.7,"41.4%","0%","35.3%","69.6%",0.8,2.7,0.5,0.1,0.6,0.4,1.5,2.1,3.6,8.0,6.0,2.0,1.0,2.0,avignon-le-pontet
Lazare Timothée M'Bala Mtsama,"1m92",18,2.0,2.0,0.0,1,"1-0",5.0,"50%",-,"50%",-,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,avignon-le-pontet
Teo Dongo-Lapietra,"1m85",20,1.5,0.0,1.0,2,"1-1",3.5,-,"50%","50%",-,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,2.0,3.0,0.0,2.0,0.0,0.0,avignon-le-pontet
Duane Morgan,"1m98",30,17.2,5.4,2.2,19,"5-14",31.7,"52.8%","31.2%","44.6%","77.4%",0.8,5.4,2.2,1.5,2.6,0.6,1.8,17.2,16.3,29.0,13.0,4.0,4.0,3.0,berck-rang-du-fliers
Guillaume Valayer,"2m01",27,9.8,6.0,2.6,21,"7-14",27.6,"53.1%","38.8%","47.2%","63.4%",1.4,6.0,2.6,0.5,1.9,0.2,1.9,9.8,12.3,20.0,10.0,5.0,2.0,1.0,berck-rang-du-fliers
Ibrahim Saounera,"1m79",36,9.2,2.8,3.5,22,"7-15",27.8,"50%","27.5%","40.3%","82.1%",0.5,2.8,3.5,0.8,2.0,0.0,2.2,9.2,9.3,23.0,7.0,6.0,3.0,0.0,berck-rang-du-fliers
Adrien Henocq,"1m94",27,9.0,2.4,3.2,13,"6-7",22.9,"50%","39.5%","41.5%","69.2%",0.2,2.4,3.2,1.5,1.2,0.1,1.7,9.0,10.4,20.0,6.0,7.0,4.0,1.0,berck-rang-du-fliers
Kayode Ajenifuja,"1m95",29,8.8,2.8,1.0,22,"7-15",24.9,"45.5%","35.7%","40%","90%",0.7,2.8,1.0,1.1,1.3,0.2,2.2,8.8,7.8,22.0,6.0,4.0,5.0,1.0,berck-rang-du-fliers
Clement Morel,"1m95",23,8.7,2.9,1.0,16,"6-10",19.7,"65.3%","17.9%","52%","69.8%",0.9,2.9,1.0,0.9,1.6,0.4,1.5,8.7,8.4,16.0,7.0,2.0,3.0,2.0,berck-rang-du-fliers
Ladji Meite,"2m02",23,6.8,4.8,1.1,19,"6-13",18.3,"65.5%",-,"65.5%","37.2%",2.2,4.8,1.1,0.5,1.4,0.3,3.4,6.8,9.2,16.0,10.0,3.0,2.0,2.0,berck-rang-du-fliers
Luidgy Laporal,"2m03",28,5.9,4.0,0.6,7,"3-4",16.9,"61.3%",-,"61.3%","37.5%",1.3,4.0,0.6,0.6,1.4,0.1,2.3,5.9,7.3,10.0,6.0,3.0,3.0,1.0,berck-rang-du-fliers
Elias Kherzane,"1m80",24,5.7,2.8,2.8,16,"6-10",19.2,"35%","23.5%","29.7%","73.6%",0.7,2.8,2.8,1.1,1.6,0.0,2.8,5.7,6.6,14.0,6.0,6.0,4.0,0.0,berck-rang-du-fliers
Alexis Desespringalle,"1m93",32,5.3,2.7,1.4,19,"6-13",17.8,"30.6%","38%","34.3%","76.5%",0.6,2.7,1.4,0.5,1.5,0.1,1.8,5.3,4.7,14.0,9.0,6.0,2.0,1.0,berck-rang-du-fliers
Alexandre Mendy,"1m90",33,4.3,2.8,1.2,6,"1-5",19.8,"46.7%","14.3%","31%","50%",0.7,2.8,1.2,0.7,3.5,0.0,1.5,4.3,1.2,8.0,5.0,2.0,1.0,0.0,berck-rang-du-fliers
Rodney Rolle,"2m04",21,2.4,1.4,0.2,9,"5-4",11.0,"75%","50%","66.7%","100%",0.8,1.4,0.2,0.4,0.3,0.4,0.7,2.4,4.2,7.0,4.0,1.0,1.0,2.0,berck-rang-du-fliers
Eliott Mariscal,"1m93",21,1.7,1.2,0.9,18,"5-13",10.9,"37.5%","26.3%","31.4%","50%",0.4,1.2,0.9,0.7,0.6,0.0,1.5,1.7,2.4,9.0,5.0,3.0,3.0,0.0,berck-rang-du-fliers
Brahim Dohou,"1m94",24,14.6,4.5,1.5,22,"7-15",28.6,"66.2%","26.5%","54.1%","73.6%",1.5,4.5,1.5,1.1,2.6,0.7,2.4,14.6,14.1,26.0,8.0,3.0,4.0,4.0,besancon
Remi Dibo,"2m03",32,13.7,3.4,1.7,16,"6-10",26.6,"41%","42.5%","42%","86.2%",0.6,3.4,1.7,1.1,1.8,0.1,2.7,13.7,11.6,24.0,7.0,3.0,4.0,2.0,besancon
Anthony Da Silva,"1m85",22,12.3,4.0,6.5,22,"7-15",33.5,"46.9%","29.8%","40.7%","67.4%",0.4,4.0,6.5,1.8,2.2,0.1,2.8,12.3,15.0,21.0,8.0,12.0,5.0,2.0,besancon
Quentin Diehl,"1m85",32,12.0,2.1,2.9,21,"7-14",30.5,"38.4%","39.3%","39%","80%",0.2,2.1,2.9,0.7,1.8,0.0,1.1,12.0,9.4,29.0,7.0,7.0,3.0,0.0,besancon
Mykal Riley,"1m98",38,10.5,3.4,2.3,21,"7-14",27.1,"47.5%","42.5%","45%","84%",0.8,3.4,2.3,1.6,2.1,0.1,1.5,10.5,11.3,20.0,8.0,5.0,4.0,1.0,besancon
Adam El Ghazi,"2m05",28,9.2,2.9,1.6,9,"4-5",19.0,"56.7%",-,"56.7%","36.8%",1.2,2.9,1.6,0.4,2.0,0.2,3.6,9.2,7.8,13.0,7.0,3.0,1.0,1.0,besancon
Xavier Rey,"2m00",36,7.7,7.7,2.4,16,"6-10",22.6,"55.6%","0%","54.8%","68.3%",2.3,7.7,2.4,0.6,1.8,2.0,2.4,7.7,15.3,15.0,12.0,6.0,2.0,5.0,besancon
Marc Kwedi,"2m01",26,7.4,4.3,1.7,15,"5-10",22.1,"42.3%","34.8%","40.4%","62.8%",0.9,4.3,1.7,1.0,1.1,0.5,3.2,7.4,9.0,22.0,9.0,4.0,2.0,3.0,besancon
Matt Gamberoni,"2m08",32,6.0,4.0,2.0,1,"0-1",16.0,"75%","0%","60%",-,3.0,4.0,2.0,1.0,2.0,0.0,3.0,6.0,9.0,6.0,4.0,2.0,1.0,0.0,besancon
Melvin Beaubois,"1m93",22,4.5,1.7,0.6,19,"6-13",12.3,"65.8%","23.1%","48.4%","47.2%",0.7,1.7,0.6,0.6,0.8,0.0,1.6,4.5,3.8,11.0,4.0,4.0,2.0,0.0,besancon
Anthony Andremont,"1m92",22,3.4,1.2,0.8,17,"5-12",12.1,"60%","25.9%","40.4%","46.2%",0.4,1.2,0.8,0.4,1.4,0.0,1.1,3.4,1.8,14.0,6.0,3.0,2.0,0.0,besancon
Thibault Boyer,"2m04",25,2.6,2.9,0.3,12,"3-9",9.6,"48%",-,"48%","70%",1.3,2.9,0.3,0.1,1.0,0.3,1.4,2.6,3.8,11.0,9.0,1.0,1.0,2.0,besancon
Theo Maillot,"1m89",21,2.0,0.5,0.0,2,"0-2",6.5,"0%","0%","0%","100%",0.0,0.5,0.0,1.0,1.0,0.5,1.5,2.0,2.0,2.0,1.0,0.0,1.0,1.0,besancon
Ange Buzer,-,16,0.0,0.7,0.3,3,"3-0",2.0,-,"0%","0%",-,0.3,0.7,0.3,0.0,0.7,0.0,0.0,0.0,-0.3,0.0,1.0,1.0,0.0,0.0,besancon
Dimitri Mongorin-Brival,-,23,0.0,1.0,0.0,1,"0-1",1.0,-,-,-,-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,besancon
Yann Siegwarth,"1m85",30,12.7,2.2,3.4,22,"14-8",23.8,"50.5%","37.9%","43.8%","75.4%",0.4,2.2,3.4,1.4,2.2,0.1,1.9,12.7,11.4,28.0,7.0,8.0,4.0,1.0,caen
Wendell Davis,"1m95",28,10.9,2.9,2.2,18,"11-7",23.7,"53.2%","38%","46%","77.5%",1.5,2.9,2.2,0.9,1.5,0.0,2.6,10.9,10.4,20.0,9.0,5.0,5.0,0.0,caen
Antoine Rojewski,"1m95",23,10.5,2.6,2.8,20,"13-7",22.5,"59.7%","31%","44.5%","74%",0.8,2.6,2.8,1.5,1.3,0.0,2.7,10.5,11.0,18.0,6.0,6.0,5.0,0.0,caen
Marc-Eddy Norelia,"1m93",30,10.4,5.4,2.0,5,"4-1",24.6,"53.8%","100%","55%","58.3%",2.6,5.4,2.0,1.4,2.2,1.2,2.0,10.4,13.6,17.0,7.0,5.0,4.0,3.0,caen
Mounir Bernaoui,"2m05",26,10.2,7.2,1.5,22,"14-8",24.1,"58%","29.4%","49.1%","74.6%",2.7,7.2,1.5,1.3,1.6,0.4,2.8,10.2,14.5,23.0,12.0,5.0,3.0,1.0,caen
Yanik Blanc,"1m88",24,9.4,2.2,4.3,20,"14-6",22.2,"62.7%","37.9%","52.5%","56.3%",0.6,2.2,4.3,1.6,1.3,0.0,2.0,9.4,12.1,17.0,5.0,9.0,5.0,0.0,caen
Bali Coulibaly,"1m99",28,8.2,4.1,1.4,21,"13-8",18.2,"45.2%",-,"45.2%","62.2%",1.9,4.1,1.4,0.8,1.7,0.4,2.9,8.2,8.2,21.0,11.0,5.0,4.0,2.0,caen
Parfait Njiba,"1m99",34,8.2,3.5,1.7,22,"14-8",22.7,"47.7%","35%","39.9%","55.6%",1.0,3.5,1.7,0.8,0.9,0.3,1.5,8.2,8.7,22.0,8.0,4.0,3.0,3.0,caen
Earvine Bassoumba,"2m06",27,7.1,3.7,1.0,22,"14-8",18.2,"63.2%","0%","62.5%","69.8%",2.1,3.7,1.0,1.2,1.5,0.8,2.7,7.1,10.1,19.0,11.0,3.0,4.0,4.0,caen
Alexis Thomas,"2m08",28,6.4,4.6,0.8,17,"10-7",15.4,"61.4%","29.3%","45.9%","90%",1.9,4.6,0.8,0.7,1.2,0.5,2.3,6.4,8.9,19.0,10.0,3.0,2.0,2.0,caen
Malela Mutuale,"1m88",32,5.0,1.9,1.6,8,"5-3",21.9,"36.8%","27.8%","32.4%","55%",0.1,1.9,1.6,0.6,1.1,0.0,1.9,5.0,3.8,9.0,4.0,5.0,2.0,0.0,caen
Carl Ona Embo,"1m88",34,2.9,0.6,1.7,14,"8-6",13.3,"62.5%","35.7%","41.7%","50%",0.1,0.6,1.7,0.5,0.4,0.0,0.9,2.9,3.7,12.0,3.0,4.0,2.0,0.0,caen
Matheo Radnic,-,,1.8,1.0,0.3,6,"5-1",6.3,"25%","66.7%","42.9%","75%",0.0,1.0,0.3,0.2,0.3,0.0,1.0,1.8,2.2,6.0,2.0,2.0,1.0,0.0,caen
Mamadou Ndiaye,"2m03",28,1.3,1.0,0.7,3,"2-1",4.3,"100%","0%","40%",-,0.0,1.0,0.7,0.3,0.3,1.0,1.0,1.3,3.0,4.0,3.0,1.0,1.0,3.0,caen
Duvaughn Maxwell,"2m01",32,17.5,7.0,5.0,2,"1-1",29.5,"54.5%","66.7%","56%","35.7%",3.5,7.0,5.0,1.0,4.5,0.0,4.0,17.5,16.0,23.0,9.0,6.0,2.0,0.0,challans
Radshad Davis,"1m91",27,16.5,6.0,2.1,20,"10-10",27.2,"56.8%","37.3%","51.1%","86.4%",2.0,6.0,2.1,1.3,1.9,0.3,2.5,16.5,18.1,35.0,13.0,9.0,3.0,1.0,challans
Marc Gosselin,"2m01",27,12.0,4.9,1.8,21,"11-10",26.9,"59.6%","34.2%","48.6%","82.6%",1.8,4.9,1.8,0.7,1.6,0.6,2.1,12.0,13.5,20.0,12.0,5.0,3.0,4.0,challans
Paul Turpin,"1m92",30,9.9,3.2,3.3,22,"11-11",28.8,"37.3%","37%","37.1%","69%",0.4,3.2,3.3,0.6,1.5,0.0,1.1,9.9,9.4,24.0,7.0,7.0,2.0,1.0,challans
Jerrell Wright,"2m03",32,9.1,4.7,1.0,14,"6-8",18.1,"57.1%","25%","55.7%","60.4%",1.9,4.7,1.0,0.5,1.6,0.1,1.4,9.1,9.7,23.0,13.0,3.0,2.0,1.0,challans
Mohammad Diop,"2m05",24,8.0,5.3,0.8,4,"3-1",17.5,"50%","20%","45.2%","50%",1.8,5.3,0.8,0.8,2.5,0.8,1.3,8.0,8.0,13.0,8.0,2.0,2.0,1.0,challans
Gary Berchel,"2m03",25,7.9,4.6,1.4,20,"9-11",24.6,"55.7%","20.4%","43.1%","74.4%",1.5,4.6,1.4,0.7,1.4,0.6,2.2,7.9,9.4,18.0,9.0,4.0,2.0,4.0,challans
Patrick Clerence,"2m04",35,7.0,3.7,0.9,21,"11-10",19.7,"40%","50%","40.3%","61.7%",0.9,3.7,0.9,0.7,1.5,0.5,3.3,7.0,6.4,28.0,9.0,2.0,3.0,2.0,challans
Gregory Bengaber,"1m88",26,7.0,2.0,2.0,4,"3-1",16.0,"78.6%","0%","64.7%","75%",0.8,2.0,2.0,0.5,0.5,0.0,2.3,7.0,9.0,12.0,3.0,4.0,2.0,0.0,challans
Jeremy Bichard,"1m86",33,6.4,1.9,4.9,22,"11-11",22.2,"56.9%","28.3%","43.2%","55.2%",0.3,1.9,4.9,1.5,2.5,0.0,2.0,6.4,8.4,17.0,5.0,11.0,4.0,1.0,challans
Lucas Plasse,"1m85",26,6.2,1.6,2.8,22,"11-11",20.9,"21.7%","35%","30.2%","82.5%",0.3,1.6,2.8,0.8,1.5,0.0,1.0,6.2,5.5,15.0,4.0,7.0,3.0,0.0,challans
Anthony Prugnieres,"2m00",31,4.9,3.6,0.8,21,"10-11",18.5,"50%","37.5%","45.6%","86.1%",0.9,3.6,0.8,0.4,1.3,0.1,1.5,4.9,6.5,16.0,7.0,5.0,2.0,1.0,challans
Issa Fofana,"2m00",20,1.4,1.3,0.0,7,"3-4",7.1,"44.4%",-,"44.4%","40%",0.7,1.3,0.0,0.1,0.7,0.3,1.9,1.4,1.3,5.0,3.0,0.0,1.0,2.0,challans
Chimezie Offurum,"1m97",,11.0,4.7,1.8,22,"15-7",22.0,"54.9%","34.6%","51.8%","70%",1.1,4.7,1.8,0.9,2.0,0.5,2.4,11.0,11.9,22.0,9.0,6.0,3.0,3.0,chartres
Max Kouguere,"1m98",36,10.2,4.9,2.3,12,"9-3",25.3,"47.4%","47.9%","47.7%","81%",0.8,4.9,2.3,0.8,1.7,0.2,2.3,10.2,12.6,22.0,11.0,6.0,2.0,1.0,chartres
Kakou Kouame,"2m11",26,9.5,6.3,0.9,18,"13-5",19.7,"59.7%","0%","57.7%","76.3%",2.4,6.3,0.9,0.5,1.6,0.7,2.8,9.5,12.9,23.0,11.0,2.0,2.0,2.0,chartres
Lucas Thevenard,"2m03",25,9.2,6.1,1.0,20,"13-7",22.5,"58.4%","34.3%","51.6%","67.2%",2.3,6.1,1.0,0.7,1.5,1.1,2.0,9.2,12.4,16.0,13.0,4.0,3.0,4.0,chartres
Calvin Hippolyte,"1m98",23,8.9,5.2,1.0,22,"15-7",20.5,"53.2%","14.3%","48.1%","61%",1.2,5.2,1.0,1.2,1.6,0.2,2.0,8.9,10.0,24.0,10.0,5.0,3.0,1.0,chartres
Ahmed Doumbia,"1m95",34,7.3,3.2,5.3,10,"7-3",25.4,"27.3%","40.5%","35.6%","80%",0.2,3.2,5.3,0.6,2.1,0.0,1.8,7.3,10.1,16.0,6.0,9.0,2.0,0.0,chartres
Fabien Ateba,"1m95",32,7.2,1.8,0.9,18,"12-6",16.5,"50%","35.4%","39.5%","71.4%",0.3,1.8,0.9,0.3,1.2,0.0,1.4,7.2,5.0,23.0,6.0,3.0,2.0,0.0,chartres
Marc-Antoine Pellin,"1m71",36,7.1,2.2,6.4,17,"12-5",25.6,"53.5%","22.7%","46.2%","85.3%",0.5,2.2,6.4,1.6,3.2,0.0,1.8,7.1,10.9,19.0,5.0,12.0,4.0,0.0,chartres
Florian Fortas,"1m91",23,6.5,2.0,2.3,22,"15-7",19.8,"41.6%","29.3%","36.3%","64.4%",0.6,2.0,2.3,1.2,1.8,0.1,2.0,6.5,5.7,15.0,5.0,7.0,5.0,1.0,chartres
Valentin Mukuna,"2m06",30,6.3,3.2,0.7,22,"15-7",14.3,"64.5%",-,"64.5%","70.4%",1.0,3.2,0.7,0.4,1.0,0.3,2.5,6.3,8.1,14.0,8.0,2.0,2.0,2.0,chartres
Thomas Prost,"1m80",27,6.1,1.2,2.5,22,"15-7",19.0,"41.9%","31.5%","34.1%","75%",0.2,1.2,2.5,1.0,1.5,0.0,2.1,6.1,5.3,13.0,5.0,5.0,3.0,1.0,chartres
Baptiste Tackamoud,"1m88",19,4.4,1.2,0.7,18,"13-5",10.1,"51.9%","29.3%","38.2%","93.8%",0.3,1.2,0.7,0.3,1.1,0.0,1.7,4.4,3.1,16.0,3.0,5.0,2.0,0.0,chartres
Jeremy Ricard,"2m00",29,2.5,3.5,2.0,2,"1-1",19.0,"25%","16.7%","20%",-,0.0,3.5,2.0,1.5,1.0,0.5,1.0,2.5,5.0,5.0,6.0,3.0,3.0,1.0,chartres
Bougari Hubert Sangare,-,,1.0,0.5,0.0,2,"1-1",2.0,"100%",-,"100%",-,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,chartres
Aly Goussard,-,,0.0,0.0,0.0,1,"1-0",2.0,-,"0%","0%",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,chartres
Yanis Harrath,"1m78",25,11.9,2.2,4.0,21,"6-15",27.8,"50.5%","39.2%","45.9%","78.1%",0.8,2.2,4.0,1.3,1.6,0.0,1.9,11.9,12.4,19.0,5.0,9.0,3.0,0.0,feurs
Mamadou Faye,"1m96",30,10.6,3.9,2.4,21,"6-15",25.3,"59.1%","36.1%","45.4%","90.7%",1.1,3.9,2.4,0.6,1.2,0.5,1.9,10.6,12.4,23.0,8.0,6.0,2.0,3.0,feurs
Ludovic Martel,"2m08",23,10.5,6.1,0.7,14,"5-9",20.9,"58.1%",-,"58.1%","67.6%",2.4,6.1,0.7,0.5,2.5,0.2,2.5,10.5,11.6,17.0,12.0,3.0,1.0,1.0,feurs
Junior Zero,"1m95",26,9.5,5.0,1.1,21,"6-15",27.6,"47.8%","37.6%","41.9%","67.4%",0.7,5.0,1.1,0.8,0.9,0.4,2.2,9.5,10.8,26.0,11.0,3.0,2.0,2.0,feurs
Anthony Spinali,"1m95",26,9.4,4.3,2.4,18,"5-13",26.4,"41.3%","38.2%","39.7%","67.7%",0.9,4.3,2.4,1.5,1.8,0.2,2.4,9.4,10.5,17.0,8.0,5.0,5.0,1.0,feurs
Eddy Djedje,"1m99",28,8.3,2.8,1.8,19,"5-14",22.5,"53.4%","38.9%","50.9%","71.7%",0.7,2.8,1.8,0.4,2.3,0.3,3.7,8.3,7.6,19.0,5.0,6.0,1.0,2.0,feurs
Mike Fofana,"2m06",26,7.6,3.0,0.8,14,"4-10",18.1,"46.2%","30.4%","38.8%","100%",0.6,3.0,0.8,0.6,0.7,0.4,1.9,7.6,7.4,21.0,8.0,3.0,3.0,1.0,feurs
Henry Preira,"2m00",29,5.8,4.6,0.8,5,"1-4",19.6,"54.5%","0%","52.2%","45.5%",3.0,4.6,0.8,0.6,1.6,1.0,2.8,5.8,7.8,10.0,8.0,2.0,1.0,2.0,feurs
Damien Archinard,"1m93",25,5.3,1.5,2.9,19,"6-13",19.3,"45.7%","37.8%","41.3%","68%",0.4,1.5,2.9,0.7,1.4,0.1,2.5,5.3,6.2,12.0,4.0,8.0,4.0,1.0,feurs
Hugo Comby,"1m85",23,5.3,1.0,0.7,20,"6-14",13.6,"36.4%","32.8%","34.3%","92.9%",0.3,1.0,0.7,0.4,0.8,0.0,1.2,5.3,3.0,21.0,5.0,2.0,2.0,0.0,feurs
Naim Houstani,"1m80",21,4.9,1.1,1.9,21,"6-15",13.2,"49.1%","17.3%","33.3%","74.2%",0.3,1.1,1.9,1.1,0.8,0.0,1.5,4.9,4.5,12.0,4.0,6.0,4.0,1.0,feurs
Ismael Cadiau,"1m95",25,2.7,3.7,2.3,3,"1-2",24.7,"33.3%","10%","18.8%","25%",0.7,3.7,2.3,0.7,1.0,0.0,1.3,2.7,3.0,4.0,4.0,3.0,1.0,0.0,feurs
Lambert Chavarin,"1m85",24,0.0,1.0,0.5,2,"0-2",11.0,"0%",-,"0%",-,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,2.0,1.0,0.0,0.0,feurs
Moses Greenwood,"2m01",26,14.3,6.8,0.6,22,"16-6",29.5,"57.1%","41.1%","53.2%","67.2%",1.9,6.8,0.6,1.3,1.5,1.1,2.4,14.3,16.7,26.0,13.0,3.0,4.0,3.0,hyeres-toulon
Quentin Losser,"2m02",24,11.5,7.5,1.5,22,"16-6",27.5,"63.1%","25%","62.2%","67.3%",2.8,7.5,1.5,1.0,1.5,0.3,2.6,11.5,16.5,21.0,14.0,4.0,2.0,2.0,hyeres-toulon
Theo Lefebvre,"1m80",28,10.6,2.6,6.5,22,"16-6",24.7,"41.4%","40.5%","41%","69.4%",0.5,2.6,6.5,1.2,2.2,0.0,2.7,10.6,13.0,20.0,5.0,11.0,4.0,0.0,hyeres-toulon
